CustomerID,Lookalike_CustomerIDs,Similarity_Scores
C0001,"C0091, C0069, C0184","0.9888478853919915, 0.984343969157011, 0.9785619388073008"
C0002,"C0159, C0036, C0134","0.9795105096869295, 0.9567623389803884, 0.9079308367148379"
C0003,"C0007, C0085, C0166","0.9968810093511233, 0.9640463999694344, 0.9603809339360592"
C0004,"C0075, C0090, C0065","0.9832140510191638, 0.9205815444205003, 0.8848698960012963"
C0005,"C0197, C0085, C0166","0.9679556789053674, 0.9638213905900721, 0.9498424445847361"
C0006,"C0169, C0185, C0081","0.9704006342294952, 0.9294489990803511, 0.9274392104956387"
C0007,"C0003, C0085, C0166","0.9968810093511233, 0.979054415937551, 0.9584810984308859"
C0008,"C0143, C0158, C0170","0.9757288678444452, 0.9535107462979482, 0.9505172118501191"
C0009,"C0032, C0058, C0150","0.980302262772668, 0.9683007773908334, 0.9614456236906475"
C0010,"C0029, C0062, C0111","0.997675243313342, 0.9804016075245915, 0.9801805189388902"
C0011,"C0117, C0016, C0074","0.9639734193262393, 0.9632077461792569, 0.9510195409647746"
C0012,"C0148, C0152, C0113","0.9884792503556854, 0.9539841832634689, 0.951329006823826"
C0013,"C0046, C0099, C0117","0.9814947146937688, 0.9465853217128839, 0.9195167285826641"
C0014,"C0151, C0097, C0060","0.9979207390553533, 0.992749122897011, 0.9880496411636847"
C0015,"C0071, C0121, C0025","0.9764868761584391, 0.972315987287492, 0.968825932491821"
C0016,"C0011, C0117, C0074","0.9632077461792569, 0.9247869590037778, 0.8760745705780282"
C0017,"C0179, C0122, C0064","0.8911139153655484, 0.8887860009610977, 0.8670294480943587"
C0018,"C0023, C0051, C0168","0.9823466564399504, 0.9772356807245443, 0.9765757848964493"
C0019,"C0035, C0177, C0070","0.9383055966012709, 0.9136577573845741, 0.8877945815992551"
C0020,"C0130, C0094, C0032","0.9794407284463068, 0.9551587204767579, 0.9273591770429713"
